Doukutsu Monogatari - Flag list     (aka Cave Story)
 by Kapow - 2006 April 29
 http://lotlot.net/misc/doukutsu/flags.txt
 email: kapow @ the above site

FLAGS (FL+/FL-/FLJ)
=====
Chron Group   FLAG    TSC    Description
[?]   [???]   21C/0  [0000]   [not set with FL+, may not even be a flag - seems to turn on right after getting the polar star]
028   Eggs    228/4   0100   Igor/Sue not in Eggs
027   Eggs    228/5   0101   POWER-UP - Life Capsule in Eggs (1)
030   Eggs    228/6   0102   POWER-UP - Life Capsule in Eggs (2)
035   Eggs    228/7   0103   Igor defeated (opens doors from Eggs to EggX, Eggs2 to EggX2)
037   Eggs    229/1   0105   Opens door from Eggs to Side Room
036   Eggs    229/2   0106   Teleport from Eggs/Eggs2 to Pens2 instead of Pens1 (for Pens cutscene)
038   EggX    22B/0   0120   Sue not in EggX
033   Egg6    22D/4   0140   ITEM - ID Card
 X    Pens1   22E/7   0151    [UNUSED? - dummied treasure chest in Pens1? the chest triggers a nonexistant event]
026   Pens1   22F/1   0153   Prevents Egg Chamber teleportation
039   Pens1   22F/2   0154   Jack in Pens1, King in Mimi (after Eggs, before King leaves to resure Toroko)
040   Pens1   22F/3   0155   Shows first Sue in cage cutscene after leaving Pens1
084   Pens1   22F/4   0156   Kazuma, Booster, Sue, King in Pens1
083   Pens1   22F/5   0157   Kazuma/Booster arrival cutscene (set during second Sue in cage cutscene)
086   Pens1   22F/6   0158   Teleporter access to Sand Zone
180   Pens1   22F/7   0159   Teleport to Eggs2 instead of Eggs (after drowning cutscene)
193   Pens1   230/0   0160   Triggers Booster v2.0 dialogue
195   Pens1   230/1   0161   Booster survived
196   Pens1   230/2   0162   ITEM - Booster v2.0
031   EggR    235/0   0200   POWER-UP - Missiles in EggR
032   EggR    235/1   0201   WEAPON - Missile Launcher (enables hidden Missile ammo entities)
153   EggR    235/2   0202   WEAPON - Super Missile
046   Weed    236/2   0210   ITEM - Santa's Key
044   Weed    236/3   0211   Talked to Santa about key
048   Weed    236/4   0212   Gave Santa's Key to Santa
054   Weed    236/5   0213   Fireplace grate is gone
060   Weed    236/6   0214   Opens door from Weed to Malco
057   Weed    236/7   0215   ITEM - Rusty Key
058   Weed    237/0   0216   Tried Rusty Key on door to Shelt (dialogue change if you try it again)
[?]   Weed    237/1   0217    [Deactivates teleporter in Weed - not sure when/why]
055   Weed    237/2   0218   POWER-UP - Missiles in Weed
082   Weed    237/3   0219   Shows second Sue in cage cutscene after leaving Weed (set after Kazuma/Booster take scooter) 
047   Weed    237/4   0220   POWER-UP - Life Capsule in Weed
069   Weed    237/5   0221   ITEM - Gum Key
070   Weed    237/6   0222   Opens door from Weed to Frog
059   Weed    237/7   0223   Told Kazuma that Rusty Key doesn't work on Door to Shelt (dialogue change if you talk to him again)
043   Weed    238/0   0224   Have visited Weed (dialogue change with caged Sue and King next to her)
081   Weed    238/1   0225   Scooter not at shelter
079   Weed    238/2   0226   Scooter crashed
080   Weed    238/3   0227   Scooter wreckage is smoking (stops once you teleport or enter Santa's house)
045   Weed    238/4   0228   Talked to Cthulhu 1 in Weed once (dialogue change)
049   Santa   23A/0   0240    [set with 0241, Santa dialogue jump is after 0241's, jump target doesn't exist]
050   Santa   23A/1   0241   WEAPON - Fireball, (dialogue changes regarding Chaco's fireplace)
068   Santa   23A/2   0242   Got Charcoal
126   Santa   23A/3   0243   Santa kidnapped
051   Chako   23C/5   0261   Learned about Jellyfish Juice (enables enemies)
127   Chako   23C/6   0262   Chaco kidnapped
052   Chako   23C/7   0263   Can get Lipstick (use bed right after Chaco first mentions Jellyfish Juice)
098   Sand    23D/6   0270   POWER-UP - Life Capsule in Sand (1)
102   Sand    23D/7   0271   POWER-UP - Life Capsule 2 in Sand (2)
099   Sand    23E/0   0272   Defeated Omega (Sunstones move when you reach them)
100   Sand    23E/1   0273   Sunstones moved
095   Sand    23E/2   0274   Currently have a Puppy on your back
113   Sand    23E/3   0275   ITEM - Kakeru (puppy)
110   Sand    23E/4   0276   ITEM - Nene (puppy)
106   Sand    23E/5   0277    [Shinobu leaves Sand? I don't understand how this is set]
117   Sand    23E/6   0278   Opens door from Sand to Gard
103   Sand    23E/7   0279   ITEM - Mick (puppy)
115   Sand    23F/0   0280   Go to Jenka2 instead of Jenka1 (Balrog stole storehouse key)
087   Sand    23F/1   0281   Curly not in Sand (saw you at entrance and ran away)
005   Cave    241/5   0301   Opens door from Cave to Mimi
006   Cave    241/6   0302   Entered Mimi once (disables falling on King cutscene)
200   Cave    241/7   0303   More enemies in Cave
003   Cave    242/0   0304   ITEM - Life Capsule in Cave
009   Mimi    244/0   0320   Toroko, King moved from platform (after falling on King)
010   Mimi    244/1   0321   King on left side of platform (before getting locket)
012   Mimi    244/2   0322   ITEM - Map System
011   Mimi    244/3   0323   Talked to King on platform once
024   Mimi    244/4   0324   Opens door from Mimi to Pens1
042   Mimi    244/5   0325   Teleporter access to Grasstown
016   Mimi    244/6   0326   King near door from Mimi to Pool
021   Mimi    244/7   0327   Jack stops guarding door to Cemet
041   Mimi    245/1   0329   Sue caged in Mimi
178   Mimi2*  246/4   0340   Mahin kidnapped (after drowning cutscene)
171   Mimi2*  246/5   0341   Changes music in Mimiga areas (after drowning cutscene)
018   Barr    249/0   0360   Toroko kidnapped
019   Barr    249/1   0361   Currently fighting Balrog
017   Barr    249/2   0362   Locks door from Barr to Mimi
014   Pool    24A/2   0370   ITEM - Silver Locket
015   Pool    24A/3   0371   Toroko not in Pool
177   Pool    24A/4   0372   Kanpachi kidnapped
023   Cemet   24C/6   0390   ITEM - Arthur's Key
210   Cemet   24C/7   0391   ITEM - Little Man
 X    Plant   24F/2   0410   ITEM - Beast Fang (can't get it)
179   Plant   24F/3   0411   Sandaime kidnapped
013   Plant   24F/4   0412   POWER-UP - Life Capsule in Plant
001   Start   251/6   0430   Saw first Kazuma on computer cutscene
002   Start   251/7   0431   Have saved at least once (loads saved game on Retry)
020   Comu    253/0   0440   King in Comu
025   Comu    253/1   0441    [set when first entering Pens1, but has no effect?]
053   Comu    253/2   0442   WEAPON - Bubbler
022   Comu    253/3   0443   Jack in Comu after leaving Cemet door
085   Comu    253/4   0444   Jack in Comu after Kazuma/Booster arrive
034   Egg1    256/6   0470   Shield lowered in Eggs (used ID Card)
062   Malco   258/0   0480   Currently fighting Balrog 2 (locks door from Malco to Weed)
061   Malco   258/1   0481   Fans activated
063   Malco   258/2   0482   Defeated Balrog 2 (can pull Malco out of ground)
064   Malco   258/3   0483   Malco is not inactive or in ground
066   Malco   258/4   0484   Malco says he can make a bomb
065   Malco   258/5   0485   Malco is standing
073   Malco   258/6   0486   ITEM - Explosive
072   Frog    25A/4   0500   Currently fighting Balfrog (locks door from Frog to Weed)
071   Frog    25A/5   0501   ITEM - Gum Base
076   Shelt   25D/0   0520   Opens door from Weed to Shelt
074   Shelt   25D/1   0521   Kazuma is not at the computer
